pid,matched_aoi,matched_aid
303,"Gion, 祇園",72
305,"Kenninji Temple, 建仁寺",71
315,"Ryozen Kannon, 霊山観音",66
316,"Kōdaiji Temple, 高台寺",65
317,"Kōdaiji Temple, 高台寺",65
318,"Kōdaiji Temple, 高台寺",65
319,"Nineizaka, 二年坂",69
320,"Nineizaka, 二年坂",69
322,"Sanneizaka, 三年坂",70
323,"Sanneizaka, 三年坂",70
327,"Sanneizaka, 三年坂",70
339,"Fushimi Inari Taisha, 伏見稲荷大社",76
340,"Fushimi Inari Taisha, 伏見稲荷大社",76
348,"Fushimi Inari Taisha, 伏見稲荷大社",76
349,"Fushimi Inari Taisha, 伏見稲荷大社",76
350,"Fushimi Inari Taisha, 伏見稲荷大社",76
351,"Fushimi Inari Taisha, 伏見稲荷大社",76
352,"Fushimi Inari Taisha, 伏見稲荷大社",76
353,"Fushimi Inari Taisha, 伏見稲荷大社",76
354,"Fushimi Inari Taisha, 伏見稲荷大社",76
355,"Fushimi Inari Taisha, 伏見稲荷大社",76
356,"Fushimi Inari Taisha, 伏見稲荷大社",76
357,"Fushimi Inari Taisha, 伏見稲荷大社",76
358,"Fushimi Inari Taisha, 伏見稲荷大社",76
359,"Fushimi Inari Taisha, 伏見稲荷大社",76
360,"Fushimi Inari Taisha, 伏見稲荷大社",76
361,"Fushimi Inari Taisha, 伏見稲荷大社",76
362,"Fushimi Inari Taisha, 伏見稲荷大社",76
363,"Fushimi Inari Taisha, 伏見稲荷大社",76
364,"Fushimi Inari Taisha, 伏見稲荷大社",76
365,"Fushimi Inari Taisha, 伏見稲荷大社",76
366,"Fushimi Inari Taisha, 伏見稲荷大社",76
367,"Fushimi Inari Taisha, 伏見稲荷大社",76
368,"Fushimi Inari Taisha, 伏見稲荷大社",76
369,"Fushimi Inari Taisha, 伏見稲荷大社",76
370,"Fushimi Inari Taisha, 伏見稲荷大社",76
371,"Fushimi Inari Taisha, 伏見稲荷大社",76
372,"Fushimi Inari Taisha, 伏見稲荷大社",76
410,"Kyoto Tower, 京都タワー",81
413,"Higashi Honganji, 東本願寺",79
418,"Higashi Honganji, 東本願寺",79
419,"Higashi Honganji, 東本願寺",79
420,"Higashi Honganji, 東本願寺",79
421,"Higashi Honganji, 東本願寺",79
425,"Higashi Honganji, 東本願寺",79
432,"Kawaramachi Street, 河原町",88
433,"Kawaramachi Street, 河原町",88
434,"Kawaramachi Street, 河原町",88
435,"Higashiyama Jisho-ji, 銀閣寺",52
438,"Philosopher's Path, 哲学の道",54
439,"Higashiyama Jisho-ji, 銀閣寺",52
439,"Philosopher's Path, 哲学の道",54
440,"Philosopher's Path, 哲学の道",54
441,"Philosopher's Path, 哲学の道",54
442,"Philosopher's Path, 哲学の道",54
443,"Philosopher's Path, 哲学の道",54
446,"Higashiyama Jisho-ji, 銀閣寺",52
446,"Philosopher's Path, 哲学の道",54
447,"Higashiyama Jisho-ji, 銀閣寺",52
448,"Philosopher's Path, 哲学の道",54
449,"Philosopher's Path, 哲学の道",54
450,"Hōnen-in, 法然院",55
451,"Hōnen-in, 法然院",55
452,"Philosopher's Path, 哲学の道",54
453,"Philosopher's Path, 哲学の道",54
454,"Philosopher's Path, 哲学の道",54
455,"Philosopher's Path, 哲学の道",54
456,"Philosopher's Path, 哲学の道",54
457,"Philosopher's Path, 哲学の道",54
458,"Philosopher's Path, 哲学の道",54
459,"Philosopher's Path, 哲学の道",54
460,"Ninna-ji, 仁和寺",26
461,"Ninna-ji, 仁和寺",26
462,"Ninna-ji, 仁和寺",26
463,"Ninna-ji, 仁和寺",26
464,"Ninna-ji, 仁和寺",26
465,"Ninna-ji, 仁和寺",26
466,"Ninna-ji, 仁和寺",26
467,"Ninna-ji, 仁和寺",26
468,"Ninna-ji, 仁和寺",26
469,"Ninna-ji, 仁和寺",26
470,"Ninna-ji, 仁和寺",26
471,"Ninna-ji, 仁和寺",26
472,"Ninna-ji, 仁和寺",26
474,"Ninna-ji, 仁和寺",26
475,"Ninna-ji, 仁和寺",26
476,"Ninna-ji, 仁和寺",26
477,"Ninna-ji, 仁和寺",26
478,"Ninna-ji, 仁和寺",26
479,"Ninna-ji, 仁和寺",26
480,"Ninna-ji, 仁和寺",26
481,"Ninna-ji, 仁和寺",26
482,"Ninna-ji, 仁和寺",26
483,"Ninna-ji, 仁和寺",26
484,"Ninna-ji, 仁和寺",26
485,"Ninna-ji, 仁和寺",26
486,"Ninna-ji, 仁和寺",26
487,"Ninna-ji, 仁和寺",26
488,"Ninna-ji, 仁和寺",26
489,"Myōshinji Temple, 妙心寺",34
490,"Myōshinji Temple, 妙心寺",34
495,"Byodoin, 平等院",83
496,"Byodoin, 平等院",83
497,"Byodoin, 平等院",83
501,"Byodoin, 平等院",83
503,"Toji, 東寺",78
510,"Toji, 東寺",78
511,"Toji, 東寺",78
512,"Toji, 東寺",78
513,"Toji, 東寺",78
514,"Toji, 東寺",78
515,"Toji, 東寺",78
516,"Toji, 東寺",78
517,"Toji, 東寺",78
518,"Toji, 東寺",78
519,"Toji, 東寺",78
520,"Toji, 東寺",78
521,"Toji, 東寺",78
522,"Toji, 東寺",78
523,"Toji, 東寺",78
524,"Toji, 東寺",78
525,"Toji, 東寺",78
