pid,center_gps,coordinate,photo_counts,matched_aoi,matched_aid
1428,"[34.96115993, 135.80760563]","[[34.961211, 135.807658], [34.961211, 135.807591], [34.961141, 135.807658], [34.961141, 135.807591]]",6,[],[]
1429,"[34.96140763, 135.80776147]","[[34.96143, 135.807772], [34.96143, 135.807691], [34.9614, 135.807772], [34.9614, 135.807691]]",9,[],[]
1430,"[35.00547031, 135.7566579]","[[35.005667, 135.756667], [35.005667, 135.756651], [35.005376, 135.756667], [35.005376, 135.756651]]",11,[],[]
1431,"[34.9930665, 135.68395468]","[[34.993231, 135.684203], [34.993231, 135.683654], [34.992729, 135.684203], [34.992729, 135.683654]]",9,[],[]
1432,"[34.99290086, 135.68349102]","[[34.992946, 135.683572], [34.992946, 135.683445], [34.992551, 135.683572], [34.992551, 135.683445]]",3,[],[]
1433,"[34.99216417, 135.6836546]","[[34.992461, 135.68375], [34.992461, 135.683502], [34.991591, 135.68375], [34.991591, 135.683502]]",20,[],[]
1434,"[34.99268925, 135.68471178]","[[34.992756, 135.684825], [34.992756, 135.684627], [34.992474, 135.684825], [34.992474, 135.684627]]",6,[],[]
1435,"[34.99197001, 135.68441492]","[[34.992034, 135.684634], [34.992034, 135.684512], [34.991826, 135.684634], [34.991826, 135.684512]]",3,[],[]
1436,"[34.99222209, 135.68426593]","[[34.9925, 135.684479], [34.9925, 135.683802], [34.99195, 135.684479], [34.99195, 135.683802]]",24,[],[]
1437,"[34.99223861, 135.68489374]","[[34.992263, 135.684981], [34.992263, 135.6848], [34.991867, 135.684981], [34.991867, 135.6848]]",17,[],[]
1438,"[35.01681646, 135.68907592]","[[35.016819, 135.689088], [35.016819, 135.689027], [35.016808, 135.689088], [35.016808, 135.689027]]",3,[],[]
1439,"[34.9954837, 135.77194858]","[[34.995658, 135.772636], [34.995658, 135.771435], [34.995047, 135.772636], [34.995047, 135.771435]]",35,[],[]
1440,"[34.99510553, 135.77262112]","[[34.995146, 135.773333], [34.995146, 135.772969], [34.994951, 135.773333], [34.994951, 135.772969]]",3,[],[]
1441,"[35.04958537, 135.79028748]","[[35.04962, 135.790297], [35.04962, 135.790189], [35.049558, 135.790297], [35.049558, 135.790189]]",5,[],[]
1442,"[35.04977758, 135.79050941]","[[35.049888, 135.790586], [35.049888, 135.7903], [35.049611, 135.790586], [35.049611, 135.7903]]",12,[],[]
1443,"[34.8885009, 135.81189035]","[[34.889033, 135.812087], [34.889033, 135.811311], [34.888333, 135.812087], [34.888333, 135.811311]]",15,[],[]
1444,"[35.04199305, 135.79523395]","[[35.042011, 135.795438], [35.042011, 135.795178], [35.041943, 135.795438], [35.041943, 135.795178]]",14,[],[]
1445,"[35.01328494, 135.8659855]","[[35.013663, 135.866255], [35.013663, 135.865527], [35.013126, 135.866255], [35.013126, 135.865527]]",10,[],[]
1446,"[35.01252609, 135.67199037]","[[35.012666, 135.672274], [35.012666, 135.671761], [35.012169, 135.672274], [35.012169, 135.671761]]",14,[],[]
1447,"[34.930183, 135.75999993]","[[34.9302, 135.76], [34.9302, 135.759833], [34.930166, 135.76], [34.930166, 135.759833]]",3,[],[]
1448,"[34.93013824, 135.75961735]","[[34.930333, 135.759666], [34.930333, 135.7595], [34.930122, 135.759666], [34.930122, 135.7595]]",6,[],[]
1449,"[34.9957821, 135.77080529]","[[34.995785, 135.771], [34.995785, 135.770783], [34.9957, 135.771], [34.9957, 135.770783]]",6,[],[]
1450,"[34.99525815, 135.77060111]","[[34.99528, 135.77063], [34.99528, 135.770555], [34.995183, 135.77063], [34.995183, 135.770555]]",3,[],[]
1451,"[34.97607672, 135.75907012]","[[34.97608, 135.759083], [34.97608, 135.759063], [34.976002, 135.759083], [34.976002, 135.759063]]",3,[],[]
1452,"[34.97559292, 135.7589932]","[[34.975669, 135.759063], [34.975669, 135.758986], [34.975508, 135.759063], [34.975508, 135.758986]]",13,[],[]
1453,"[35.04312829, 135.78301962]","[[35.043252, 135.783066], [35.043252, 135.782836], [35.043103, 135.783066], [35.043103, 135.782836]]",7,[],[]
1454,"[34.9516029, 135.73791802]","[[34.951769, 135.73794], [34.951769, 135.737639], [34.951382, 135.73794], [34.951382, 135.737639]]",6,[],[]
1455,"[35.01914642, 135.71634806]","[[35.019166, 135.7165], [35.019166, 135.716166], [35.019, 135.7165], [35.019, 135.716166]]",6,[],[]
1456,"[34.98886977, 135.77820109]","[[34.98895, 135.778169], [34.98895, 135.778091], [34.988847, 135.778169], [34.988847, 135.778091]]",3,"['Chishaku-in, 智積院']",[74]
1457,"[34.98864467, 135.77848027]","[[34.988911, 135.77863], [34.988911, 135.778208], [34.988333, 135.77863], [34.988333, 135.778208]]",13,"['Chishaku-in, 智積院']",[74]
1458,"[34.98897253, 135.7777114]","[[34.989252, 135.777763], [34.989252, 135.777358], [34.988938, 135.777763], [34.988938, 135.777358]]",8,"['Chishaku-in, 智積院']",[74]
1459,"[34.97897169, 135.7029857]","[[34.978991, 135.70308], [34.978991, 135.702727], [34.978705, 135.70308], [34.978705, 135.702727]]",7,[],[]
1460,"[34.97962406, 135.70312624]","[[34.979647, 135.703264], [34.979647, 135.703105], [34.97935, 135.703264], [34.97935, 135.703105]]",3,[],[]
1461,"[35.01268725, 135.6738942]","[[35.012695, 135.673895], [35.012695, 135.673888], [35.012538, 135.673895], [35.012538, 135.673888]]",69,[],[]
1462,"[35.01262549, 135.67347694]","[[35.012661, 135.673588], [35.012661, 135.673447], [35.012463, 135.673588], [35.012463, 135.673447]]",7,[],[]
1463,"[34.95158951, 135.7718352]","[[34.951597, 135.771858], [34.951597, 135.771816], [34.951536, 135.771858], [34.951536, 135.771816]]",20,[],[]
1464,"[34.95156946, 135.77193768]","[[34.951577, 135.771941], [34.951577, 135.771894], [34.951561, 135.771941], [34.951561, 135.771894]]",8,[],[]
1465,"[34.95151805, 135.77195904]","[[34.951555, 135.771994], [34.951555, 135.771925], [34.951472, 135.771994], [34.951472, 135.771925]]",18,[],[]
1466,"[34.95170356, 135.77166225]","[[34.951708, 135.771666], [34.951708, 135.771644], [34.951672, 135.771666], [34.951672, 135.771644]]",6,[],[]
1467,"[34.95164283, 135.77144945]","[[34.95165, 135.771458], [34.95165, 135.771447], [34.951602, 135.771458], [34.951602, 135.771447]]",9,[],[]
1468,"[34.95160029, 135.771468]","[[34.951602, 135.771477], [34.951602, 135.771466], [34.951572, 135.771477], [34.951572, 135.771466]]",6,[],[]
1469,"[34.9516166, 135.77166071]","[[34.951625, 135.771683], [34.951625, 135.771658], [34.951608, 135.771683], [34.951608, 135.771658]]",4,[],[]
1470,"[34.95163499, 135.77160979]","[[34.951658, 135.771616], [34.951658, 135.7716], [34.951611, 135.771616], [34.951611, 135.7716]]",7,[],[]
1471,"[34.95169876, 135.77157096]","[[34.951755, 135.771594], [34.951755, 135.771563], [34.9517, 135.771594], [34.9517, 135.771563]]",4,[],[]
1472,"[34.95166495, 135.77153748]","[[34.951691, 135.771569], [34.951691, 135.771494], [34.951627, 135.771569], [34.951627, 135.771494]]",13,[],[]
1473,"[34.94983966, 135.77131846]","[[34.949844, 135.77135], [34.949844, 135.771302], [34.949813, 135.77135], [34.949813, 135.771302]]",8,[],[]
1474,"[34.94988411, 135.77138299]","[[34.949891, 135.771422], [34.949891, 135.771361], [34.949841, 135.771422], [34.949841, 135.771361]]",8,[],[]
1475,"[34.94988844, 135.77142444]","[[34.94993, 135.771455], [34.94993, 135.771425], [34.949888, 135.771455], [34.949888, 135.771425]]",3,[],[]
1476,"[34.95028819, 135.77161533]","[[34.950302, 135.771616], [34.950302, 135.771591], [34.950266, 135.771616], [34.950266, 135.771591]]",3,[],[]
1477,"[34.95020551, 135.77148576]","[[34.950227, 135.771508], [34.950227, 135.77143], [34.950163, 135.771508], [34.950163, 135.77143]]",10,[],[]
1478,"[34.9501176, 135.77157465]","[[34.950122, 135.771583], [34.950122, 135.771569], [34.95008, 135.771583], [34.95008, 135.771569]]",3,[],[]
1479,"[34.95017244, 135.77151496]","[[34.950177, 135.77155], [34.950177, 135.7715], [34.950133, 135.77155], [34.950133, 135.7715]]",4,[],[]
1480,"[34.95025202, 135.77144535]","[[34.950272, 135.771488], [34.950272, 135.771438], [34.950247, 135.771488], [34.950247, 135.771438]]",7,[],[]
